Location ID,"Zone, Borough",Latitude,Longitude
140,"Lenox Hill East, Manhattan",40.7683107,-73.964406
141,"Lenox Hill West, Manhattan",40.764332,-73.9764332
142,"Lincoln Square East, Manhattan",,
143,"Lincoln Square West, Manhattan",40.7639353,-73.9794602
144,"Little Italy/NoLiTa, Manhattan",,
145,"Long Island City/Hunters Point, Queens",40.7415095,-73.9569751
146,"Long Island City/Queens Plaza, Queens",,
147,"Longwood, Bronx",40.8162916,-73.8962205
148,"Lower East Side, Manhattan",40.7159357,-73.9868057
149,"Madison, Brooklyn",,
150,"Manhattan Beach, Brooklyn",40.575973,-73.944014
151,"Manhattan Valley, Manhattan",40.7997764,-73.9677716
152,"Manhattanville, Manhattan",40.8157775,-73.951554
153,"Marble Hill, Manhattan",40.8762983,-73.9104292
154,"Marine Park/Floyd Bennett Field, Brooklyn",,
155,"Marine Park/Mill Basin, Brooklyn",40.6055793,-73.9341972
156,"Mariners Harbor, Staten Island",40.6312348,-74.1632291
157,"Maspeth, Queens",40.723158,-73.912637
158,"Meatpacking/West Village West, Manhattan",40.7373273,-73.9993712
159,"Melrose South, Bronx",,
160,"Middle Village, Queens",40.7179844,-73.8788075
161,"Midtown Center, Manhattan",40.7650637,-73.9853191
162,"Midtown East, Manhattan",40.7598219,-73.9724708
163,"Midtown North, Manhattan",40.7648401,-73.9851723
164,"Midtown South, Manhattan",40.7498417,-73.984251
165,"Midwood, Brooklyn",40.6188823,-73.9654889
166,"Morningside Heights, Manhattan",40.806122,-73.9649202
167,"Morrisania/Melrose, Bronx",40.8292672,-73.9065253
168,"Mott Haven/Port Morris, Bronx",40.807837,-73.9064249
169,"Mount Hope, Bronx",40.8502343,-73.9095104
170,"Murray Hill, Manhattan",40.7481574,-73.97875
171,"Murray Hill-Queens, Queens",40.7627097,-73.8146116
172,"New Dorp/Midland Beach, Staten Island",40.5706385,-74.1059598
173,"North Corona, Queens",,
174,"Norwood, Bronx",40.8772593,-73.8768626
175,"Oakland Gardens, Queens",40.753991,-73.765966
176,"Oakwood, Staten Island",40.5639366,-74.1163373
177,"Ocean Hill, Brooklyn",40.6757317,-73.9124338
178,"Ocean Parkway South, Brooklyn",,
179,"Old Astoria, Queens",,
180,"Ozone Park, Queens",40.67677,-73.8437461
181,"Park Slope, Brooklyn",40.6694111,-73.9812722
182,"Parkchester, Bronx",40.8332047,-73.8609723
183,"Pelham Bay, Bronx",40.8662112,-73.7895774
184,"Pelham Bay Park, Bronx",40.852548,-73.827938
185,"Pelham Parkway, Bronx",40.857229,-73.8676281
186,"Penn Station/Madison Sq West, Manhattan",,
187,"Port Richmond, Staten Island",40.6273634,-74.1422642
188,"Prospect-Lefferts Gardens, Brooklyn",,
189,"Prospect Heights, Brooklyn",40.6778708,-73.9684725
190,"Prospect Park, Brooklyn",40.6617743,-73.971089
191,"Queens Village, Queens",40.7267692,-73.7415208
192,"Queensboro Hill, Queens",40.7429131,-73.825175
193,"Queensbridge/Ravenswood, Queens",40.7653824,-73.9330319
194,"Randalls Island, Manhattan",40.7914478,-73.9210237
195,"Red Hook, Brooklyn",40.6790718,-74.0194283
196,"Rego Park, Queens",40.722865,-73.8621025
197,"Richmond Hill, Queens",40.6994253,-73.8309672
198,"Ridgewood, Queens",40.7080556,-73.9141667
199,"Rikers Island, Bronx",40.7919318,-73.8834937
200,"Riverdale/North Riverdale/Fieldston, Bronx",,
201,"Rockaway Park, Queens",40.5805104,-73.8361535
202,"Roosevelt Island, Manhattan",40.7613367,-73.9502853
203,"Rosedale, Queens",40.6620479,-73.7354097
204,"Rossville/Woodrow, Staten Island",40.5417682,-74.2081781
205,"Saint Albans, Queens",40.6984364,-73.7606881
206,"Saint George/New Brighton, Staten Island",40.6447497,-74.0868219
207,"Saint Michaels Cemetery/Woodside, Queens",,
208,"Schuylerville/Edgewater Park, Bronx",,
209,"Seaport, Manhattan",40.7057505,-74.0029056
210,"Sheepshead Bay, Brooklyn",40.5912161,-73.9445822
211,"SoHo, Manhattan",40.72288,-73.9987505
212,"Soundview/Bruckner, Bronx",,
213,"Soundview/Castle Hill, Bronx",40.8129287,-73.8572657
214,"South Beach/Dongan Hills, Staten Island",40.582324,-74.1048331
215,"South Jamaica, Queens",40.6956234,-73.7941863
216,"South Ozone Park, Queens",40.6701035,-73.8190231
217,"South Williamsburg, Brooklyn",40.7087085,-73.9702219
218,"Springfield Gardens North, Queens",,
219,"Springfield Gardens South, Queens",,
220,"Spuyten Duyvil/Kingsbridge, Bronx",40.8788687,-73.922173
221,"Stapleton, Staten Island",40.6264774,-74.0776361
222,"Starrett City, Brooklyn",40.6478738,-73.8795192
223,"Steinway, Queens",40.7802324,-73.8998295
224,"Stuy Town/Peter Cooper Village, Manhattan",,
225,"Stuyvesant Heights, Brooklyn",40.6812872,-73.9437748
226,"Sunnyside, Queens",40.7398242,-73.9354153
227,"Sunset Park East, Brooklyn",,
228,"Sunset Park West, Brooklyn",,
229,"Sutton Place/Turtle Bay North, Manhattan",,
230,"Times Sq/Theatre District, Manhattan",40.7595077,-73.9841594
231,"TriBeCa/Civic Center, Manhattan",40.7183969,-74.0041959
232,"Two Bridges/Seward Park, Manhattan",,
233,"UN/Turtle Bay South, Manhattan",,
234,"Union Sq, Manhattan",40.7360717,-73.9901888
235,"University Heights/Morris Heights, Bronx",40.8601,-73.909303
236,"Upper East Side North, Manhattan",,
237,"Upper East Side South, Manhattan",,
238,"Upper West Side North, Manhattan",,
239,"Upper West Side South, Manhattan",,
240,"Van Cortlandt Park, Bronx",40.8970755,-73.8865797
241,"Van Cortlandt Village, Bronx",,
242,"Van Nest/Morris Park, Bronx",40.8484336,-73.8637463
243,"Washington Heights North, Manhattan",,
244,"Washington Heights South, Manhattan",,
245,"West Brighton, Staten Island",40.6345481,-74.1120867
246,"West Chelsea/Hudson Yards, Manhattan",40.754987,-74.0000961
247,"West Concourse, Bronx",40.8237375,-73.9230056
248,"West Farms/Bronx River, Bronx",40.8413003,-73.877865
249,"West Village, Manhattan",40.7342364,-74.0056259
250,"Westchester Village/Unionport, Bronx",,
251,"Westerleigh, Staten Island",40.621215,-74.1318094
252,"Whitestone, Queens",40.7888409,-73.813779
253,"Willets Point, Queens",40.796708,-73.779396
254,"Williamsbridge/Olinville, Bronx",,
255,"Williamsburg (North Side), Brooklyn",,
256,"Williamsburg (South Side), Brooklyn",,
257,"Windsor Terrace, Brooklyn",40.653487,-73.977196
258,"Woodhaven, Queens",40.6892698,-73.8579131
259,"Woodlawn/Wakefield, Bronx",,
260,"Woodside, Queens",40.7461604,-73.9032853
261,"World Trade Center, Manhattan",40.7119004,-74.012527
262,"Yorkville East, Manhattan",40.7683107,-73.964406
263,"Yorkville West, Manhattan",,
264,"nan, Unknown",,
265,"Outside of NYC, nan",,
