,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee,trip_duration_minutes,pickup_hour,pickup_day,pickup_month
119,74,42,1.0,1.61,11.4,1.0,0.5,0.0,0.0,13.9,2.0,1.0,0.0,0.0,10.783333333333333,1,Wednesday,1
122,75,42,1.0,2.0,10.7,1.0,0.5,1.98,0.0,15.18,1.0,1.0,0.0,0.0,7.3,1,Wednesday,1
123,75,236,1.0,0.51,4.4,1.0,0.5,1.93,0.0,11.58,1.0,1.0,2.75,0.0,2.966666666666667,1,Wednesday,1
125,41,116,1.0,1.79,12.8,1.0,0.5,3.82,0.0,19.12,1.0,1.0,0.0,0.0,13.416666666666666,1,Wednesday,1
126,41,75,1.0,2.01,12.1,1.0,0.5,1.0,0.0,15.6,1.0,1.0,0.0,0.0,11.133333333333333,1,Wednesday,1
128,218,218,1.0,0.0,26.0,0.0,0.0,0.0,0.0,27.0,1.0,2.0,0.0,0.0,0.2,1,Wednesday,1
129,112,25,1.0,4.97,27.5,1.0,0.5,7.5,0.0,37.5,1.0,1.0,0.0,0.0,24.183333333333334,1,Wednesday,1
130,7,145,1.0,1.72,10.7,1.0,0.5,0.0,0.0,13.2,2.0,1.0,0.0,0.0,9.4,1,Wednesday,1
131,74,244,1.0,4.41,19.8,1.0,0.5,4.46,0.0,26.76,1.0,1.0,0.0,0.0,12.083333333333334,1,Wednesday,1
132,95,95,1.0,0.11,3.0,1.0,0.5,0.0,0.0,5.5,2.0,1.0,0.0,0.0,0.38333333333333336,1,Wednesday,1
133,36,36,1.0,0.0,3.0,1.0,0.5,5.5,0.0,11.0,1.0,1.0,0.0,0.0,1.6833333333333333,1,Wednesday,1
134,25,188,1.0,3.0,17.7,1.0,1.5,0.0,0.0,20.2,2.0,1.0,0.0,0.0,17.683333333333334,1,Wednesday,1
136,256,255,1.0,0.58,5.8,1.0,0.5,1.66,0.0,9.96,1.0,1.0,0.0,0.0,4.416666666666667,1,Wednesday,1
137,255,170,1.0,4.4,23.3,1.0,0.5,5.71,0.0,34.26,1.0,1.0,2.75,0.0,21.6,1,Wednesday,1
138,42,42,1.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,0.0,0.0,0.06666666666666667,1,Wednesday,1
140,166,238,1.0,1.82,11.4,1.0,0.5,5.0,0.0,21.65,1.0,1.0,2.75,0.0,7.766666666666667,2,Wednesday,1
141,74,168,1.0,1.17,8.6,1.0,0.5,0.0,0.0,11.1,2.0,1.0,0.0,0.0,5.733333333333333,2,Wednesday,1
142,97,231,1.0,2.6,17.0,3.75,1.5,2.0,0.0,24.25,1.0,1.0,2.75,0.0,14.666666666666666,2,Wednesday,1
143,166,237,1.0,3.01,17.0,1.0,0.5,4.45,0.0,26.7,1.0,1.0,2.75,0.0,13.583333333333334,2,Wednesday,1
144,260,260,1.0,0.0,12.0,0.0,0.0,2.6,0.0,15.6,1.0,2.0,0.0,0.0,0.25,2,Wednesday,1
145,66,189,1.0,2.6,16.3,1.0,0.5,3.76,0.0,22.56,1.0,1.0,0.0,0.0,15.733333333333333,2,Wednesday,1
147,41,151,1.0,2.24,14.2,1.0,0.5,0.0,0.0,16.7,2.0,1.0,0.0,0.0,13.066666666666666,2,Wednesday,1
148,41,74,1.0,1.63,12.1,1.0,0.5,2.92,0.0,17.52,1.0,1.0,0.0,0.0,11.233333333333333,2,Wednesday,1
149,41,159,1.0,2.95,18.4,1.0,0.5,0.0,0.0,20.9,1.0,1.0,0.0,0.0,17.05,2,Wednesday,1
150,264,264,1.0,0.0,11.0,0.0,0.0,2.4,0.0,14.4,1.0,2.0,0.0,0.0,0.03333333333333333,2,Wednesday,1
152,264,264,1.0,0.0,10.0,0.0,0.0,2.2,0.0,13.2,1.0,2.0,0.0,0.0,0.016666666666666666,2,Wednesday,1
158,95,95,1.0,1.28,8.6,1.0,0.5,2.22,0.0,13.32,1.0,1.0,0.0,0.0,6.666666666666667,2,Wednesday,1
163,95,95,1.0,1.13,7.9,1.0,0.5,2.08,0.0,12.48,1.0,1.0,0.0,0.0,5.766666666666667,2,Wednesday,1
164,260,7,1.0,1.25,10.0,1.0,0.5,2.5,0.0,15.0,1.0,1.0,0.0,0.0,8.483333333333333,2,Wednesday,1
168,82,82,1.0,0.0,15.0,0.0,0.0,3.2,0.0,19.2,1.0,2.0,0.0,0.0,0.06666666666666667,2,Wednesday,1
169,95,135,1.0,1.38,10.0,1.0,0.5,3.75,0.0,16.25,1.0,1.0,0.0,0.0,7.5,2,Wednesday,1
170,95,95,1.0,1.25,9.3,1.0,0.5,0.0,0.0,11.8,2.0,1.0,0.0,0.0,8.983333333333333,2,Wednesday,1
173,95,198,1.0,1.12,17.0,1.0,0.5,7.0,0.0,26.5,1.0,1.0,0.0,0.0,19.433333333333334,2,Wednesday,1
174,41,43,1.0,1.11,7.9,1.0,0.5,0.0,0.0,10.4,2.0,1.0,0.0,0.0,5.216666666666667,2,Wednesday,1
175,129,179,1.0,3.73,20.5,1.0,0.5,0.0,0.0,23.0,2.0,1.0,0.0,0.0,15.783333333333333,2,Wednesday,1
181,42,159,1.0,1.33,10.0,1.0,0.5,0.0,0.0,12.5,2.0,1.0,0.0,0.0,8.15,2,Wednesday,1
185,260,7,1.0,1.48,9.3,1.0,0.5,2.0,0.0,13.8,1.0,1.0,0.0,0.0,7.4,2,Wednesday,1
191,74,74,1.0,0.0,3.7,1.0,0.5,0.0,0.0,6.2,2.0,1.0,0.0,0.0,1.4166666666666667,2,Wednesday,1
193,41,41,1.0,0.32,4.4,1.0,0.5,0.0,0.0,6.9,2.0,1.0,0.0,0.0,1.8666666666666667,2,Wednesday,1
194,255,49,1.0,1.95,11.4,1.0,0.5,3.48,0.0,17.38,1.0,1.0,0.0,0.0,9.066666666666666,2,Wednesday,1
195,264,264,1.0,0.0,10.7,3.75,1.5,3.15,0.0,19.1,1.0,1.0,2.75,0.0,11.0,2,Wednesday,1
198,256,107,1.0,3.84,20.5,1.0,0.5,5.15,0.0,30.9,1.0,1.0,2.75,0.0,19.083333333333332,2,Wednesday,1
200,53,53,1.0,0.0,25.0,0.0,0.0,5.2,0.0,31.2,1.0,2.0,0.0,0.0,0.11666666666666667,3,Wednesday,1
202,42,162,1.0,4.44,20.5,1.0,0.5,5.15,0.0,30.9,1.0,1.0,2.75,0.0,14.4,1,Wednesday,1
203,74,74,1.0,0.86,6.5,1.0,0.5,0.0,0.0,9.0,1.0,1.0,0.0,0.0,4.083333333333333,1,Wednesday,1
206,95,95,1.0,1.24,7.9,1.0,0.5,2.08,0.0,12.48,1.0,1.0,0.0,0.0,5.066666666666666,2,Wednesday,1
207,95,129,1.0,4.73,24.0,1.0,0.5,0.0,0.0,26.5,2.0,1.0,0.0,0.0,17.133333333333333,3,Wednesday,1
212,7,7,1.0,0.42,9.0,0.0,0.0,2.0,0.0,12.0,1.0,2.0,0.0,0.0,2.25,3,Wednesday,1
213,95,95,1.0,0.79,6.5,1.0,0.5,0.0,0.0,9.0,2.0,1.0,0.0,0.0,4.216666666666667,3,Wednesday,1
217,41,42,1.0,0.79,7.9,1.0,0.5,2.6,0.0,13.0,1.0,1.0,0.0,0.0,6.633333333333334,2,Wednesday,1
218,41,42,1.0,1.24,8.6,1.0,0.5,0.0,0.0,11.1,2.0,1.0,0.0,0.0,6.15,3,Wednesday,1
219,41,263,1.0,2.45,14.2,1.0,0.5,0.0,0.0,19.45,2.0,1.0,2.75,0.0,10.816666666666666,3,Wednesday,1
222,226,129,1.0,1.83,12.1,1.0,0.5,0.0,0.0,14.6,2.0,1.0,0.0,0.0,9.75,3,Wednesday,1
223,7,7,1.0,0.56,6.5,1.0,0.5,2.25,0.0,11.25,1.0,1.0,0.0,0.0,4.966666666666667,3,Wednesday,1
227,225,225,1.0,0.13,10.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,0.0,0.0,0.06666666666666667,3,Wednesday,1
228,42,42,1.0,0.13,9.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,0.5833333333333334,3,Thursday,1
230,92,264,1.0,0.06,25.0,0.0,0.0,7.8,0.0,33.8,1.0,2.0,0.0,0.0,0.05,3,Wednesday,1
231,41,41,1.0,0.0,3.0,1.0,0.5,0.0,0.0,5.5,2.0,1.0,0.0,0.0,0.43333333333333335,3,Wednesday,1
232,41,42,1.0,1.04,9.3,1.0,0.5,0.0,0.0,11.8,2.0,1.0,0.0,0.0,7.983333333333333,3,Wednesday,1
233,74,74,1.0,0.11,3.7,1.0,0.5,0.0,0.0,6.2,2.0,1.0,0.0,0.0,1.8166666666666667,3,Wednesday,1
234,82,129,1.0,1.14,8.6,1.0,0.5,5.0,0.0,16.1,1.0,1.0,0.0,0.0,6.816666666666666,3,Wednesday,1
235,255,256,1.0,0.9,8.6,1.0,0.5,3.33,0.0,14.43,1.0,1.0,0.0,0.0,7.85,3,Wednesday,1
236,255,188,1.0,4.72,24.0,1.0,0.5,3.0,0.0,29.5,1.0,1.0,0.0,0.0,22.85,3,Wednesday,1
237,255,231,1.0,3.64,19.8,1.0,0.5,0.01,0.0,25.06,1.0,1.0,2.75,0.0,17.466666666666665,3,Wednesday,1
240,171,171,1.0,0.0,12.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,0.0,0.06666666666666667,4,Wednesday,1
241,83,83,1.0,0.17,15.0,0.0,0.0,3.2,0.0,19.2,1.0,2.0,0.0,0.0,0.06666666666666667,4,Wednesday,1
242,130,265,1.0,5.6,27.5,1.0,0.5,0.0,0.0,30.0,2.0,1.0,0.0,0.0,23.4,4,Wednesday,1
243,74,41,1.0,0.88,7.2,1.0,0.5,1.94,0.0,11.64,1.0,1.0,0.0,0.0,5.266666666666667,3,Wednesday,1
247,42,41,1.0,1.03,7.2,1.0,0.5,1.94,0.0,11.64,1.0,1.0,0.0,0.0,4.916666666666667,4,Wednesday,1
248,41,116,1.0,1.45,9.3,1.0,0.5,1.77,0.0,13.57,1.0,1.0,0.0,0.0,6.95,4,Wednesday,1
250,244,250,1.0,5.44,24.7,1.0,0.5,0.0,0.0,27.2,2.0,1.0,0.0,0.0,13.6,4,Wednesday,1
251,82,129,1.0,1.0,8.6,1.0,0.5,2.22,0.0,13.32,1.0,1.0,0.0,0.0,7.316666666666666,19,Tuesday,12
252,255,144,1.0,0.56,7.2,1.0,0.5,0.0,0.0,9.7,2.0,1.0,0.0,0.0,5.633333333333334,4,Wednesday,1
253,168,75,1.0,1.83,9.3,1.0,0.5,0.0,0.0,11.8,1.0,1.0,0.0,0.0,5.9,4,Wednesday,1
257,61,61,1.0,0.0,10.0,0.0,0.0,0.88,0.0,11.88,1.0,2.0,0.0,0.0,0.05,4,Wednesday,1
258,75,230,1.0,3.01,14.9,1.0,0.5,0.0,0.0,20.15,2.0,1.0,2.75,0.0,10.166666666666666,4,Wednesday,1
259,95,132,1.0,3.61,24.0,1.0,0.5,5.3,0.0,31.8,1.0,1.0,0.0,0.0,19.283333333333335,4,Wednesday,1
260,129,129,1.0,0.94,6.5,0.5,0.5,0.0,0.0,7.8,2.0,1.0,0.0,0.0,7.5,5,Wednesday,1
264,129,70,1.0,0.61,5.8,1.0,0.5,1.66,0.0,9.96,1.0,1.0,0.0,0.0,3.683333333333333,4,Wednesday,1
265,92,121,1.0,3.93,19.1,1.0,0.5,0.32,0.0,21.92,1.0,1.0,0.0,0.0,12.566666666666666,4,Wednesday,1
268,255,36,1.0,2.73,17.0,1.0,0.5,5.85,0.0,25.35,1.0,1.0,0.0,0.0,16.733333333333334,4,Wednesday,1
272,94,94,1.0,0.0,24.0,0.0,0.0,5.0,0.0,30.0,1.0,2.0,0.0,0.0,0.05,4,Wednesday,1
274,157,157,1.0,0.0,15.0,0.0,0.0,4.5,0.0,19.5,1.0,2.0,0.0,0.0,2.2333333333333334,5,Wednesday,1
275,42,142,1.0,4.64,25.4,1.0,0.5,4.6,0.0,35.25,1.0,1.0,2.75,0.0,21.916666666666668,3,Wednesday,1
277,182,32,1.0,3.01,14.9,1.0,0.5,0.0,0.0,17.4,2.0,1.0,0.0,0.0,7.65,5,Wednesday,1
279,83,264,1.0,0.0,3.0,1.0,1.5,0.0,0.0,5.5,2.0,1.0,0.0,0.0,0.0,5,Wednesday,1
280,83,83,1.0,0.0,3.0,1.0,1.5,7.0,0.0,12.5,1.0,1.0,0.0,0.0,0.0,5,Wednesday,1
281,37,37,1.0,2.2,12.1,1.0,0.5,0.0,0.0,14.6,2.0,1.0,0.0,0.0,9.516666666666667,5,Wednesday,1
282,82,129,1.0,1.23,10.0,1.0,0.5,0.0,0.0,12.5,2.0,1.0,0.0,0.0,8.233333333333333,5,Wednesday,1
283,130,131,1.0,0.0,16.5,0.0,1.5,0.0,0.0,18.0,1.0,1.0,0.0,0.0,7.95,5,Wednesday,1
284,112,255,1.0,1.24,25.0,0.0,0.0,5.2,0.0,31.2,1.0,2.0,0.0,0.0,4.466666666666667,5,Wednesday,1
285,82,138,1.0,3.95,18.4,6.0,0.5,5.0,0.0,30.9,1.0,1.0,0.0,0.0,9.216666666666667,5,Wednesday,1
286,82,82,1.0,0.0,8.0,0.0,0.0,1.8,0.0,10.8,1.0,2.0,0.0,0.0,0.06666666666666667,5,Wednesday,1
290,169,169,1.0,0.0,20.0,0.0,0.0,0.0,0.0,21.0,1.0,2.0,0.0,0.0,0.08333333333333333,5,Wednesday,1
293,235,235,1.0,0.0,15.0,0.0,0.0,0.0,0.0,16.0,1.0,2.0,0.0,0.0,0.38333333333333336,5,Wednesday,1
295,127,243,1.0,0.93,8.6,0.0,0.5,0.0,0.0,10.1,2.0,1.0,0.0,0.0,7.533333333333333,5,Wednesday,1
296,127,127,1.0,0.57,5.8,0.0,0.5,0.0,0.0,7.3,2.0,1.0,0.0,0.0,3.716666666666667,6,Wednesday,1
297,80,80,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.8333333333333334,6,Wednesday,1
298,80,112,1.0,1.0,20.0,0.0,0.0,0.0,0.0,20.0,1.0,2.0,0.0,0.0,4.7,6,Wednesday,1
299,74,243,1.0,3.85,19.1,0.0,0.5,4.12,0.0,24.72,1.0,1.0,0.0,0.0,12.016666666666667,6,Wednesday,1
300,82,226,1.0,2.02,12.8,0.0,0.5,2.86,0.0,17.16,1.0,1.0,0.0,0.0,10.7,6,Wednesday,1
303,82,258,1.0,4.57,25.4,0.0,0.5,1.0,0.0,27.9,1.0,1.0,0.0,0.0,22.716666666666665,6,Wednesday,1
306,25,148,1.0,3.6,19.8,2.75,1.5,4.8,0.0,28.85,1.0,1.0,2.75,0.0,16.933333333333334,6,Wednesday,1
307,160,160,1.0,0.0,20.0,0.0,0.0,0.0,0.0,21.0,1.0,2.0,0.0,0.0,1.8166666666666667,7,Wednesday,1
309,92,171,1.0,1.75,13.5,0.0,0.5,0.0,0.0,15.0,2.0,1.0,0.0,0.0,13.183333333333334,7,Wednesday,1
310,75,42,1.0,2.44,12.1,0.0,0.5,2.4,0.0,16.0,1.0,1.0,0.0,0.0,7.866666666666666,7,Wednesday,1
313,75,24,1.0,1.7,10.0,0.0,1.5,0.0,0.0,11.5,1.0,1.0,0.0,0.0,8.533333333333333,7,Wednesday,1
317,74,140,1.0,3.64,17.7,0.0,0.5,4.39,0.0,26.34,1.0,1.0,2.75,0.0,9.616666666666667,7,Wednesday,1
318,130,28,1.0,1.35,10.0,0.0,0.5,0.0,0.0,11.5,1.0,1.0,0.0,0.0,7.816666666666666,8,Wednesday,1
319,74,75,1.0,1.78,10.7,0.0,0.5,2.0,0.0,14.2,1.0,1.0,0.0,0.0,7.383333333333334,8,Wednesday,1
321,74,151,1.0,2.19,14.2,0.0,0.5,3.14,0.0,18.84,1.0,1.0,0.0,0.0,12.316666666666666,8,Wednesday,1
323,75,263,1.0,1.31,7.2,0.0,0.5,2.29,0.0,13.74,1.0,1.0,2.75,0.0,3.2666666666666666,8,Wednesday,1
324,75,238,1.0,1.3,7.9,0.0,0.5,0.0,0.0,9.4,2.0,1.0,0.0,0.0,4.583333333333333,8,Wednesday,1
325,236,140,1.0,1.5,9.3,0.0,0.5,0.0,0.0,13.55,2.0,1.0,2.75,0.0,5.8,8,Wednesday,1
327,92,92,1.0,0.07,10.0,0.0,0.0,0.08,0.0,11.08,1.0,2.0,0.0,0.0,0.06666666666666667,8,Wednesday,1
330,130,218,1.0,3.03,14.9,0.0,0.5,3.28,0.0,19.68,1.0,1.0,0.0,0.0,12.933333333333334,8,Wednesday,1
331,124,215,1.0,0.0,25.5,0.0,1.5,0.0,0.0,27.0,1.0,1.0,0.0,0.0,13.1,8,Wednesday,1
332,74,163,1.0,3.51,18.4,0.0,0.5,0.0,0.0,22.65,2.0,1.0,2.75,0.0,12.55,8,Wednesday,1
333,130,121,1.0,2.11,13.5,0.0,0.5,3.0,0.0,18.0,1.0,1.0,0.0,0.0,11.483333333333333,8,Wednesday,1
334,116,236,1.0,4.17,19.8,0.0,0.5,5.32,0.0,26.62,1.0,1.0,0.0,0.0,13.583333333333334,8,Wednesday,1
338,82,82,1.0,1.51,10.0,0.0,0.5,1.0,0.0,12.5,1.0,1.0,0.0,0.0,8.066666666666666,9,Wednesday,1
339,74,166,1.0,2.04,12.1,0.0,0.5,2.72,0.0,16.32,1.0,1.0,0.0,0.0,9.166666666666666,9,Wednesday,1
340,74,236,1.0,2.3,12.1,0.0,0.5,0.0,0.0,16.35,2.0,1.0,2.75,0.0,8.283333333333333,6,Wednesday,1
341,263,141,1.0,1.44,7.9,0.0,0.5,2.43,0.0,14.58,1.0,1.0,2.75,0.0,4.016666666666667,9,Wednesday,1
